@relation training_data

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute emotion {positive,neutral,negative}

@data
0,0,-1,-1,0,0,0,0,0,0,0,1,positive
0.47,-0.045455,0.47,-0.045455,0,0,0,0,1,0,0,11,neutral
0.0271,0,0.0271,-1,0,0,0,0,0,0,0,5,positive
0,0,-1,-1,0,-1,0,-1,0,0,0,9,positive
0.685606,-0.040362,0.342803,-0.040362,2,0,2,0,0,0,0,5,positive
0.041582,0,0.020791,-1,0,0,0,0,0,0,0,5,negative
0,0,-1,-1,0,0,0,0,0,0,0,9,positive
0.06,0,0.06,-1,2,0,2,0,1,0,0,6,negative
0.131072,-0.027595,0.032768,-0.027595,2,0,1,0,0,1,0,6,positive
0.039307,0,0.039307,-1,2,0,2,0,0,0,0,10,positive
1,-0.027372,0.5,-0.027372,0,0,0,0,0,1,0,7,positive
0,0,-1,-1,0,0,0,0,0,0,0,14,neutral
0.114096,-0.03,0.114096,-0.03,0,0,0,0,0,0,0,5,neutral
0,0,-1,-1,0,0,0,0,0,1,0,8,positive
0.006899,0,0.006899,-1,0,0,0,0,0,0,0,3,positive
0.039307,0,0.039307,-1,0,-3,0,-3,0,0,0,11,negative
0.499088,0,0.499088,-1,0,0,0,0,0,0,0,10,positive
0,0,-1,-1,0,0,0,0,0,0,0,10,positive
0.041667,0,0.041667,-1,0,0,0,0,0,0,0,11,negative
0,-0.068431,-1,-0.068431,0,0,0,0,0,1,0,5,neutral
0,0,-1,-1,2,0,2,0,0,0,0,22,positive
0,0,-1,-1,0,0,0,0,9,0,0,5,positive
0,0,-1,-1,2,-1,2,-1,0,0,0,7,neutral
0.283209,-0.203913,0.094403,-0.203913,0,0,0,0,0,0,0,9,positive
0.125,0,0.125,-1,0,0,0,0,0,0,0,7,positive
0,0,-1,-1,1,0,1,0,0,0,0,5,positive
0,0,-1,-1,0,-3,0,-1,0,0,0,4,positive
0.72671,-0.109185,0.145342,-0.054593,0,0,0,0,2,1,1,4,negative
0.0271,0,0.0271,-1,2,0,2,0,0,0,0,8,positive
0.019711,-0.006713,0.019711,-0.006713,0,0,0,0,1,0,0,6,positive
0.143294,-0.09,0.071647,-0.09,0,0,0,0,1,0,0,9,negative
0.103115,-0.561131,0.034372,-0.561131,0,-2,0,-2,0,0,0,7,negative
0,0,-1,-1,0,0,0,0,0,0,0,8,positive
0,0,-1,-1,0,0,0,0,0,0,0,3,neutral
0.053346,0,0.053346,-1,0,-5,0,-1,0,0,0,9,negative
0.108743,0,0.036248,-1,0,0,0,0,0,1,0,9,neutral
0.717705,0,0.358852,-1,1,0,1,0,3,0,0,5,positive
0.028683,0,0.014342,-1,0,0,0,0,0,0,0,5,neutral
0.034014,0,0.034014,-1,0,0,0,0,0,1,0,6,positive
0.103115,-0.561131,0.034372,-0.561131,0,-2,0,-2,1,0,0,2,negative
0,0,-1,-1,0,0,0,0,0,0,0,4,positive
0.063079,-0.015,0.03154,-0.015,0,0,0,0,0,0,0,7,positive
0,-0.068431,-1,-0.068431,0,0,0,0,1,0,0,9,neutral
0.054745,0,0.054745,-1,0,0,0,0,0,1,0,5,positive
0,-0.083333,-1,-0.083333,0,-1,0,-1,0,0,0,4,negative
0.259354,0,0.259354,-1,2,0,2,0,0,0,0,7,negative
0.13164,0,0.06582,-1,0,0,0,0,1,0,0,5,negative
0,0,-1,-1,0,0,0,0,0,0,0,3,positive
0.072263,-0.142552,0.036132,-0.142552,0,-1,0,-1,0,0,0,2,positive
0.166667,0,0.166667,-1,0,0,0,0,0,0,0,4,positive
0,-1.101364,-1,-0.275341,0,-3,0,-1,1,0,0,3,positive
0,0,-1,-1,2,0,2,0,0,1,0,3,positive
0,0,-1,-1,0,0,0,0,0,0,0,42,negative
0.120919,-0.772727,0.120919,-0.386364,1,0,1,0,0,1,0,11,positive
0.071933,-0.03214,0.035966,-0.03214,0,-5,0,-1,0,2,0,6,negative
0,0,-1,-1,0,0,0,0,0,0,0,11,positive
0,0,-1,-1,0,-2,0,-2,0,0,0,17,neutral
0.024672,0,0.012336,-1,1,0,1,0,0,0,0,7,positive
0,-0.11,-1,-0.11,0,-2,0,-2,0,0,0,11,negative
0,-0.75,-1,-0.75,0,-3,0,-3,0,0,0,5,neutral
0.039307,-0.625,0.039307,-0.625,0,0,0,0,0,0,0,3,negative
0.142562,0,0.142562,-1,0,0,0,0,0,0,0,7,neutral
0.21,0,0.21,-1,3,0,1,0,0,0,0,9,positive
0.135735,0,0.135735,-1,1,0,1,0,0,0,0,11,positive
0,0,-1,-1,0,0,0,0,0,0,0,13,negative
0.072993,0,0.072993,-1,0,0,0,0,0,0,0,16,neutral
