@relation training_data

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute emotion {positive,neutral,negative}

@data
0.050462,-0.051325,0.050462,-0.025662,0,0,0,0,2,0,0,11,neutral
0.060268,-0.973485,0.030134,-0.324495,0,-7,0,-2,0,3,0,4,negative
0.022969,0,0.011484,-1,0,-1,0,-1,0,0,0,10,positive
0.375,0,0.375,-1,0,0,0,0,0,0,0,4,positive
0.118644,-0.029328,0.059322,-0.014664,1,0,1,0,0,2,0,15,negative
0.789307,-0.307042,0.394653,-0.076761,1,0,1,0,0,0,0,0,positive
0.057886,-0.315,0.019295,-0.1575,0,0,0,0,0,1,0,7,positive
0.209869,-0.019185,0.052467,-0.019185,0,0,0,0,0,0,0,7,neutral
0.142562,0,0.142562,-1,0,0,0,0,0,3,0,31,positive
0.281387,-0.005,0.070347,-0.005,0,0,0,0,0,0,0,7,positive
0,0,-1,-1,0,0,0,0,0,0,0,24,neutral
0.061063,-0.041667,0.061063,-0.041667,0,0,0,0,0,0,0,2,positive
0.9721,-0.119319,0.324033,-0.119319,0,0,0,0,0,0,0,7,positive
0.031722,-0.065714,0.031722,-0.032857,0,-2,0,-1,0,0,0,10,negative
0.133541,-0.156849,0.066771,-0.052283,0,-1,0,-1,0,0,0,9,neutral
0,0,-1,-1,0,0,0,0,0,0,0,12,neutral
0.147944,-0.272727,0.036986,-0.272727,0,0,0,0,0,0,0,7,negative
0.463808,0,0.231904,-1,1,0,1,0,0,0,0,3,neutral
0.831283,0,0.166257,-1,1,0,1,0,0,0,0,1,negative
0,-0.017247,-1,-0.017247,0,-3,0,-3,0,1,0,18,neutral
0,-0.041667,-1,-0.041667,0,0,0,0,0,2,0,7,positive
0.121269,0,0.060634,-1,0,-1,0,-1,0,0,0,3,neutral
0.12145,-0.041667,0.040483,-0.041667,0,-2,0,-2,0,0,0,8,neutral
0,-0.001956,-1,-0.001956,0,0,0,0,0,0,0,19,neutral
0.15146,-0.06464,0.15146,-0.03232,2,0,2,0,1,1,0,21,neutral
0.518493,-0,0.103699,-0,1,0,1,0,0,0,0,4,neutral
0.213848,0,0.035641,-1,0,0,0,0,0,1,0,9,neutral
0.238443,-0.068431,0.059611,-0.068431,1,-1,1,-1,0,0,0,3,negative
0.019284,0,0.019284,-1,0,-2,0,-1,0,0,0,14,neutral
0.571813,-0.041667,0.190604,-0.041667,0,0,0,0,1,0,0,8,neutral
0,0,-1,-1,0,0,0,0,0,0,0,1,positive
0,-0.598236,-1,-0.299118,0,-1,0,-1,1,1,1,3,negative
0.343643,-1.151667,0.068729,-0.287917,1,-3,1,-1,1,0,0,4,negative
0.041582,0,0.020791,-1,0,0,0,0,0,0,0,4,neutral
0,-0.027595,-1,-0.027595,0,0,0,0,0,0,0,7,positive
0.120919,0,0.120919,-1,0,0,0,0,0,0,0,25,neutral
0,0,-1,-1,0,-3,0,-3,0,0,0,20,neutral
0.363705,-0.561102,0.181852,-0.140276,0,-1,0,-1,0,0,0,10,neutral
0.066035,0,0.033018,-1,0,0,0,0,1,0,0,16,neutral
0.925581,-0.351344,0.308527,-0.117115,0,-1,0,-1,0,0,0,3,neutral
0.047442,-0.109489,0.047442,-0.109489,0,-1,0,-1,0,0,0,12,negative
0.129866,-0.752737,0.064933,-0.376369,1,0,1,0,0,0,0,6,negative
0.03641,-0.013797,0.03641,-0.013797,0,0,0,0,0,3,0,12,positive
0.21718,-0.027595,0.072393,-0.027595,0,-1,0,-1,0,6,0,11,positive
0.054745,0,0.054745,-1,1,0,1,0,0,1,0,7,positive
0,-0.007526,-1,-0.007526,0,-1,0,-1,0,0,0,6,neutral
0.547273,0,0.109455,-1,0,0,0,0,0,0,0,6,neutral
0.379059,-0.118504,0.126353,-0.059252,0,0,0,0,2,0,0,7,neutral
0.272791,-0.066176,0.068198,-0.066176,0,0,0,0,0,0,0,8,neutral
0,-0.1,-1,-0.1,2,-1,1,-1,0,0,0,11,positive
0.636988,-0.133981,0.159247,-0.066991,0,0,0,0,0,1,0,2,neutral
0.625,-0.083333,0.3125,-0.083333,2,0,2,0,0,2,0,2,positive
0,0,-1,-1,0,0,0,0,0,0,0,3,neutral
0.139167,-0.142046,0.069583,-0.071023,0,0,0,0,0,0,0,3,neutral
0.055079,0,0.055079,-1,0,-1,0,-1,0,0,0,10,negative
0,-0.083333,-1,-0.083333,0,-2,0,-2,0,0,0,8,neutral
0.12264,-0.65051,0.06132,-0.216837,3,-3,1,-3,0,0,0,8,negative
0.793335,-0.631667,0.264445,-0.210556,0,-1,0,-1,0,0,0,8,positive
0,-0.070124,-1,-0.035062,0,0,0,0,0,0,0,5,neutral
0.903109,-1.013349,0.180622,-0.168892,1,0,1,0,0,0,0,8,neutral
0.12,0,0.12,-1,0,0,0,0,0,0,0,0,negative
0.042074,-0.034385,0.021037,-0.034385,0,-2,0,-2,1,0,0,7,neutral
0.039307,0,0.039307,-1,0,0,0,0,0,1,0,13,neutral
0.776325,0,0.388163,-1,3,0,1,0,3,0,0,8,positive
0.11902,-0.019185,0.039673,-0.019185,0,0,0,0,1,0,0,13,neutral
0.073429,0,0.024476,-1,1,0,1,0,0,0,0,10,neutral
0.0016,0,0.000533,-1,0,-1,0,-1,0,1,0,16,positive
0.039307,-0.537481,0.039307,-0.268741,0,-3,0,-1,0,0,0,8,neutral
0.120919,0,0.120919,-1,0,0,0,0,0,0,0,42,neutral
0.216581,-0.102933,0.072194,-0.051467,0,0,0,0,0,0,0,4,neutral
0.185069,-0.041667,0.06169,-0.041667,0,0,0,0,0,0,0,11,neutral
0.054932,-0.069262,0.027466,-0.034631,0,0,0,0,0,0,0,4,neutral
0.75,0,0.75,-1,1,-1,1,-1,0,0,0,21,positive
0.015522,-0.119319,0.015522,-0.119319,0,-3,0,-3,0,0,0,7,negative
1.056848,0,0.264212,-1,2,-1,2,-1,1,0,0,13,positive
0.413333,-0.013102,0.206667,-0.013102,0,0,0,0,0,0,0,5,neutral
0,-0.022727,-1,-0.022727,3,0,1,0,0,0,0,11,positive
0.069307,0,0.034653,-1,1,0,1,0,0,0,0,7,neutral
0,0,-1,-1,0,0,0,0,0,1,0,7,neutral
0.020272,0,0.020272,-1,0,-3,0,-1,0,0,0,15,neutral
0.018248,0,0.018248,-1,2,-3,2,-3,0,0,0,8,neutral
0.05056,-0.041667,0.02528,-0.041667,0,0,0,0,0,0,0,4,neutral
0.768248,-0.031956,0.384124,-0.015978,1,0,1,0,1,0,0,3,positive
0.045455,0,0.045455,-1,3,0,1,0,0,0,0,12,positive
0.254807,0,0.127404,-1,0,0,0,0,0,0,0,7,neutral
0,-0.215,-1,-0.215,0,0,0,0,0,8,0,24,positive
0.036496,-0.195255,0.036496,-0.195255,1,-1,1,-1,0,0,0,10,positive
0.073229,-0.090206,0.018307,-0.030069,0,-1,0,-1,0,0,0,13,negative
0,-0.011289,-1,-0.011289,1,0,1,0,0,0,0,14,neutral
0.094051,0,0.047026,-1,0,-3,0,-1,0,2,0,17,neutral
0,0,-1,-1,1,0,1,0,0,0,0,34,positive
0.012052,0,0.012052,-1,2,0,2,0,2,0,0,14,neutral
0.34337,-0.1,0.171685,-0.1,3,0,1,0,0,0,0,15,positive
0.171278,0,0.057093,-1,0,0,0,0,0,0,0,4,neutral
0.042187,-0.034328,0.021093,-0.017164,0,0,0,0,2,0,0,5,neutral
0.071029,-0.041667,0.035515,-0.041667,0,0,0,0,4,1,0,8,neutral
0.049166,-0.022727,0.024583,-0.022727,0,0,0,0,0,0,0,11,negative
0.157344,-0.045455,0.031469,-0.045455,0,0,0,0,1,0,0,8,neutral
0.203849,-0.041667,0.06795,-0.041667,0,0,0,0,0,0,0,9,neutral
0.020626,-0.234848,0.020626,-0.117424,1,-3,1,-3,4,0,0,10,negative
0.5,0,0.25,-1,3,0,1,0,0,1,0,5,positive
0.066407,0,0.033203,-1,1,0,1,0,0,4,0,15,positive
0.0271,-0.36,0.0271,-0.36,0,0,0,0,0,0,0,13,positive
0.037935,-0.1,0.037935,-0.1,0,0,0,0,0,1,0,4,positive
0.393131,-0.711362,0.196565,-0.177841,0,0,0,0,0,0,0,12,negative
0.120409,0,0.060204,-1,2,0,1,0,0,1,0,4,positive
0.462121,-0.101425,0.231061,-0.033808,2,0,2,0,0,2,0,6,positive
0,-0.069262,-1,-0.034631,1,0,1,0,0,0,0,6,neutral
0,-0.304263,-1,-0.101421,0,-2,0,-2,0,0,0,7,negative
1.659091,0,0.829545,-1,3,0,1,0,0,2,0,14,positive
0.051359,-0.041667,0.025679,-0.041667,0,0,0,0,0,0,0,10,neutral
0.083333,-0.272727,0.083333,-0.272727,0,-4,0,-1,0,0,0,6,negative
0.123613,-0.011289,0.041204,-0.011289,0,0,0,0,0,0,0,3,negative
0.339701,0,0.113234,-1,0,0,0,0,0,0,0,9,positive
0.183699,-0.534592,0.03674,-0.178197,0,-1,0,-1,0,0,0,11,negative
0.781193,-0.387889,0.260398,-0.193944,0,-1,0,-1,0,0,0,14,neutral
0.38162,-0.993897,0.095405,-0.198779,0,0,0,0,0,0,0,4,neutral
0.447692,-0.05975,0.089538,-0.05975,0,0,0,0,1,0,0,6,neutral
0.220506,-1.382147,0.073502,-0.460716,0,-4,0,-2,0,0,0,3,negative
0.671341,0,0.167835,-1,3,-1,1,-1,0,0,0,9,positive
0.100626,-0.066169,0.033542,-0.022056,0,0,0,0,0,0,0,8,neutral
0,-0.119319,-1,-0.119319,1,0,1,0,0,6,0,7,positive
0.202213,-0.083333,0.067404,-0.083333,0,-1,0,-1,2,6,2,8,positive
0.057823,-0.510184,0.028912,-0.170061,1,-2,1,-1,1,1,0,11,neutral
0.076408,-0.239185,0.038204,-0.119593,2,0,2,0,0,0,0,6,positive
0,0,-1,-1,2,0,2,0,1,0,0,10,positive
0.050462,-0.041667,0.050462,-0.041667,0,0,0,0,0,1,0,5,neutral
0.268949,-0.026062,0.134474,-0.026062,0,0,0,0,0,0,0,11,neutral
0,-0.027595,-1,-0.027595,0,0,0,0,0,0,0,12,neutral
0.129373,0,0.064687,-1,5,0,2,0,0,1,0,7,positive
0.865789,-0.222526,0.216447,-0.111263,1,-1,1,-1,0,0,0,11,positive
0.013686,0,0.013686,-1,2,0,2,0,0,3,0,16,neutral
0,0,-1,-1,0,0,0,0,0,1,0,13,negative
0,-0.007526,-1,-0.007526,0,0,0,0,0,0,0,8,neutral
0.451693,0,0.112923,-1,0,0,0,0,0,0,0,9,neutral
0.332605,0,0.066521,-1,1,-3,1,-1,0,0,0,7,positive
0.069728,-0.034494,0.069728,-0.034494,0,-1,0,-1,0,0,0,4,neutral
0,-0.007526,-1,-0.007526,0,0,0,0,0,0,0,5,neutral
0,0,-1,-1,0,0,0,0,0,0,0,11,neutral
0.015,-0.121667,0.015,-0.060833,4,0,2,0,0,0,0,8,positive
0.021898,0,0.021898,-1,0,0,0,0,0,0,0,5,neutral
0.046324,0,0.023162,-1,0,0,0,0,1,3,0,9,neutral
0.192306,-0.29271,0.064102,-0.146355,0,0,0,0,0,0,0,6,neutral
0.67307,-1.047042,0.336535,-0.349014,1,-1,1,-1,0,0,0,2,positive
0,-0.069039,-1,-0.034519,1,0,1,0,1,1,0,4,positive
0,-0.084757,-1,-0.028252,0,0,0,0,0,0,0,0,neutral
0,0,-1,-1,0,0,0,0,0,4,0,33,neutral
0.063784,0,0.063784,-1,0,0,0,0,1,0,0,3,neutral
0.247789,-0.187501,0.123895,-0.09375,0,-1,0,-1,0,0,0,4,positive
0.120919,-0.057413,0.120919,-0.028707,0,0,0,0,0,0,0,3,neutral
